flat_id,id,building_id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
318.0,1057,9830.0,3,0,5.900000095367432,40.20000076293945,3,0,57.29999923706055,1972,4,55.59652328491211,37.6185417175293,2.640000104904175,378,12,1,11950000
320.0,1058,23173.0,12,0,9.5,18.799999237060547,1,0,38.0,2015,4,55.60296630859375,37.360313415527344,2.700000047683716,395,17,1,8300000
321.0,1059,23488.0,11,0,0.0,26.0,1,0,44.0,2016,4,55.60158920288086,37.36580276489258,2.640000104904175,149,25,1,10850000
323.0,1060,23163.0,16,0,13.300000190734863,44.79999923706055,3,0,76.0,2015,4,55.60155487060547,37.35709762573242,2.740000009536743,199,17,1,14000000
324.0,1061,23471.0,3,0,10.0,30.0,1,0,40.0,2016,4,55.59899139404297,37.3586311340332,2.740000009536743,320,17,1,10000000
325.0,1062,10141.0,6,0,0.0,19.399999618530277,1,0,34.79999923706055,1972,6,55.60062789916992,37.660621643066406,2.640000104904175,98,14,1,8100000
328.0,1063,8260.0,3,0,0.0,15.0,1,0,28.0,1969,4,55.637351989746094,37.53202438354492,2.640000104904175,240,5,0,8650000
329.0,1064,9447.0,5,0,7.0,19.0,1,0,33.0,1971,4,55.71779251098633,37.82565689086914,2.700000047683716,430,9,1,8300000
330.0,1065,7274.0,1,0,6.699999809265137,18.799999237060547,1,0,32.599998474121094,1967,4,55.86231231689453,37.4289436340332,2.640000104904175,355,9,1,11750000
332.0,1066,11207.0,2,0,6.5,18.899999618530277,1,0,32.5,1975,4,55.61762237548828,37.72437286376953,2.640000104904175,215,9,1,9700000
333.0,1067,15700.0,2,0,9.0,31.0,2,0,54.0,1992,4,55.68100738525391,37.64995574951172,2.640000104904175,132,17,1,19839576
334.0,1068,21494.0,9,0,12.0,20.0,1,0,42.09999847412109,2010,2,55.64902877807617,37.34330749511719,2.5,480,18,1,10400000
335.0,1069,6911.0,2,0,0.0,22.600000381469727,2,0,37.59999847412109,1966,6,55.88630294799805,37.65126800537109,2.640000104904175,72,9,1,8600000
336.0,1070,22441.0,4,0,10.0,17.5,1,0,41.29999923706055,2013,4,55.62449645996094,37.31483840942383,2.640000104904175,672,25,1,9950000
337.0,1071,13557.0,8,0,8.0,30.0,2,0,54.0,1982,4,55.668270111083984,37.4693489074707,2.640000104904175,247,16,1,17000000
338.0,1072,23510.0,5,0,10.0,20.0,1,0,40.0,2016,4,55.67579650878906,37.4439811706543,2.75,178,23,1,13450000
339.0,1073,15019.0,1,0,10.100000381469728,45.79999923706055,3,0,74.4000015258789,1988,4,55.64397811889648,37.36392211914063,2.640000104904175,272,17,1,15200000
340.0,1074,8838.0,1,0,5.0,31.0,2,0,47.0,1970,4,55.63252639770508,37.531494140625,2.640000104904175,432,9,1,12000000
341.0,1075,24320.0,14,0,0.0,24.399999618530277,1,0,47.900001525878906,2018,4,55.66149520874024,37.41562271118164,2.650000095367432,546,25,1,12150000
342.0,1076,14098.0,3,0,9.0,21.0,1,0,39.0,1984,4,55.65036392211914,37.40139389038086,2.700000047683716,182,12,1,11000000
343.0,1077,21172.0,7,0,16.0,55.0,2,0,89.0,2009,2,55.65391540527344,37.40015411376953,2.799999952316284,392,25,1,22300000
346.0,1079,21114.0,13,0,7.5,19.100000381469727,1,0,38.0,2008,4,55.882232666015625,37.655643463134766,2.740000009536743,312,14,1,10450000
347.0,1080,9950.0,14,0,7.0,49.900001525878906,3,0,72.0,1972,4,55.70265579223633,37.46796798706055,2.640000104904175,150,16,1,20250000
348.0,1081,11507.0,10,0,6.400000095367432,23.600000381469727,2,0,38.5,1975,6,55.85114288330078,37.63790893554688,2.640000104904175,98,14,1,13100000
351.0,1083,22766.0,15,0,10.699999809265137,11.600000381469728,1,0,33.79999923706055,2014,4,55.54212951660156,37.49020767211914,2.799999952316284,192,17,1,8300000
352.0,1084,23478.0,20,0,11.0,25.0,1,0,42.0,2016,4,55.59981918334961,37.35636138916016,2.640000104904175,146,25,1,10500000
